cod_ori,latlon_ori,cod_des,latlon_des,cod,distancia
11120,"-32.318768140700776,-58.07902159500193",2220,"-30.42583821419782,-56.48691836714405",111202220,317758
11120,"-32.318768140700776,-58.07902159500193",3320,"-34.5248820942228,-56.28134757794109",111203320,323653
11120,"-32.318768140700776,-58.07902159500193",4220,"-32.366965911958815,-54.16797657500114",111204220,435339
11120,"-32.318768140700776,-58.07902159500193",5320,"-34.45055037560706,-57.838919942012616",111205320,271081
11120,"-32.318768140700776,-58.07902159500193",6220,"-33.38250225260489,-56.5226838660229",111206220,222192
11120,"-32.318768140700776,-58.07902159500193",7320,"-33.5214825688165,-56.89958042575091",111207320,182771
11120,"-32.318768140700776,-58.07902159500193",8220,"-34.10300406870569,-56.22187817478847",111208220,293686
11120,"-32.318768140700776,-58.07902159500193",9220,"-34.37662152849474,-55.244018002185456",111209220,402406
11120,"-32.318768140700776,-58.07902159500193",10320,"-34.8972187652653,-54.94737237904476",1112010320,456544
11120,"-32.318768140700776,-58.07902159500193",12320,"-33.12672715408673,-58.29894536750416",1112012320,123567
11120,"-32.318768140700776,-58.07902159500193",13220,"-30.91647986120184,-55.569795769247854",1112013220,344553
11120,"-32.318768140700776,-58.07902159500193",14320,"-34.47922798203669,-54.326604990723666",1112014320,511813
11120,"-32.318768140700776,-58.07902159500193",15120,"-31.39099520425074,-57.938559131114474",1112015120,119296
11120,"-32.318768140700776,-58.07902159500193",16220,"-34.338333026427584,-56.71343246500763",1112016220,279722
11120,"-32.318768140700776,-58.07902159500193",17220,"-33.255057139215,-58.03061475685623",1112017220,120957
11120,"-32.318768140700776,-58.07902159500193",18220,"-31.71656576589131,-55.98227865899393",1112018220,234088
11120,"-32.318768140700776,-58.07902159500193",19220,"-33.23222966487474,-54.38252254973986",1112019220,454206
12320,"-33.12672715408673,-58.29894536750416",1020,"-34.83459368462574,-56.200727322283996",123201020,299593
12320,"-33.12672715408673,-58.29894536750416",2220,"-30.42583821419782,-56.48691836714405",123202220,437289
12320,"-33.12672715408673,-58.29894536750416",3320,"-34.5248820942228,-56.28134757794109",123203320,267098
12320,"-33.12672715408673,-58.29894536750416",4220,"-32.366965911958815,-54.16797657500114",123204220,486396
12320,"-33.12672715408673,-58.29894536750416",5320,"-34.45055037560706,-57.838919942012616",123205320,183459
12320,"-33.12672715408673,-58.29894536750416",6220,"-33.38250225260489,-56.5226838660229",123206220,196476
12320,"-33.12672715408673,-58.29894536750416",7320,"-33.5214825688165,-56.89958042575091",123207320,157056
12320,"-33.12672715408673,-58.29894536750416",8220,"-34.10300406870569,-56.22187817478847",123208220,267971
12320,"-33.12672715408673,-58.29894536750416",9220,"-34.37662152849474,-55.244018002185456",123209220,376691
12320,"-33.12672715408673,-58.29894536750416",10320,"-34.8972187652653,-54.94737237904476",1232010320,413078
12320,"-33.12672715408673,-58.29894536750416",11120,"-32.318768140700776,-58.07902159500193",1232011120,123583
12320,"-33.12672715408673,-58.29894536750416",13220,"-30.91647986120184,-55.569795769247854",1232013220,429996
12320,"-33.12672715408673,-58.29894536750416",14320,"-34.47922798203669,-54.326604990723666",1232014320,486098
