cod,depto_origen,nom_depto_orig,depto_destino,nom_depto_des,personas_mig,pbi_origen,pob_origen,pbi_destino,pob_destino,dist,log_pbi_destino,log_dist
714,7,FLORES,14,ROCHA,13,7284124,25050,17547856,68088,350525,16.680442335171204,12.767187309589332
814,8,FLORIDA,14,ROCHA,62,17767290,67047,17547856,68088,253261,16.680442335171204,12.442175856508216
914,9,LAVALLEJA,14,ROCHA,150,15594153,58815,17547856,68088,153094,16.680442335171204,11.938807390805975
1014,10,MALDONADO,14,ROCHA,535,51311595,164298,17547856,68088,141478,16.680442335171204,11.85989950694582
1114,11,PAYSANDU,14,ROCHA,50,26828524,113107,17547856,68088,536205,16.680442335171204,13.192271829619296
1214,12,RIO NEGRO,14,ROCHA,48,24297744,54765,17547856,68088,515329,16.680442335171204,13.152560810629145
1314,13,RIVERA,14,ROCHA,46,20212707,103473,17547856,68088,466304,16.680442335171204,13.052593060928182
1514,15,SALTO,14,ROCHA,38,25542275,124861,17547856,68088,624205,16.680442335171204,13.344234119039859
1614,16,SAN JOSE,14,ROCHA,47,26930981,108304,17547856,68088,292089,16.680442335171204,12.584813829330553
1714,17,SORIANO,14,ROCHA,46,22993631,82594,17547856,68088,464640,16.680442335171204,13.049018191178513
1814,18,TACUAREMBO,14,ROCHA,35,18093592,90051,17547856,68088,410429,16.680442335171204,12.924958233110232
1914,19,TREINTA Y TRES,14,ROCHA,174,11720592,48134,17547856,68088,149488,16.680442335171204,11.914971401032737
115,1,MONTEVIDEO,15,SALTO,1547,465848031,1318755,25542275,124861,486960,17.05584548056092,13.095937263167807
215,2,ARTIGAS,15,SALTO,794,14214980,73377,25542275,124861,184479,17.05584548056092,12.12529091484639
315,3,CANELONES,15,SALTO,159,86306492,520173,25542275,124861,478928,17.05584548056092,13.079305551942497
